Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778739785,5,,Aggregated,69.100000,69.100000,64,71,75,79,90,100,160,230,360,500,500,1220,1119,64,69.45466708115508,25.599994998628972,502.85424800131295,48.9172131147541
1778739786,5,,Aggregated,69.100000,69.100000,64,70,75,79,90,100,160,230,360,500,500,1297,1196,64,69.20585620508838,25.599994998628972,502.85424800131295,48.92212798766384
1778739787,5,,Aggregated,68.500000,68.500000,64,70,75,78,89,100,160,230,360,500,500,1373,1272,64,68.84011960888226,25.599994998628972,502.85424800131295,48.92643845593591
1778739788,5,,Aggregated,68.000000,68.000000,64,70,75,79,89,99,150,220,360,500,500,1449,1348,64,68.73174501173503,25.599994998628972,502.85424800131295,48.93029675638371
1778739789,5,,Aggregated,67.700000,67.700000,64,70,75,79,89,100,130,220,360,500,500,1522,1421,64,68.68775434165678,25.599994998628972,502.85424800131295,48.933639947437584
1778739790,5,,Aggregated,67.000000,67.000000,64,70,75,79,89,99,130,220,360,500,500,1596,1495,64,68.65488800313096,25.599994998628972,502.85424800131295,48.93671679197995
1778739791,5,,Aggregated,67.500000,67.500000,64,70,75,78,88,99,130,210,360,500,500,1672,1571,64,68.44499053050188,25.599994998628972,502.85424800131295,48.93959330143541
1778739792,5,,Aggregated,66.900000,66.900000,64,70,75,79,89,100,140,210,360,500,500,1741,1640,64,68.77552042963704,25.599994998628972,502.85424800131295,48.94198736358415
1778739793,5,,Aggregated,67.900000,67.900000,64,70,75,79,89,99,130,210,360,500,500,1816,1715,64,68.63563862830513,25.599994998628972,502.85424800131295,48.944383259911895
1778739794,5,,Aggregated,71.600000,71.600000,64,70,75,78,88,99,130,210,360,500,500,1897,1796,64,68.3644527063761,25.599994998628972,502.85424800131295,48.94675803900896
1778739795,5,,Aggregated,74.400000,74.400000,64,70,75,78,88,98,130,210,360,500,500,1970,1869,64,68.34225415430893,25.599994998628972,502.85424800131295,48.948730964467
1778739796,5,,Aggregated,74.200000,74.200000,64,70,75,78,88,97,130,200,320,500,500,2048,1947,64,68.16310271533243,25.599994998628972,502.85424800131295,48.95068359375
1778739797,5,,Aggregated,75.300000,75.300000,64,70,75,78,87,96,120,200,320,500,500,2122,2021,64,68.15444338501496,25.599994998628972,502.85424800131295,48.95240339302545
1778739798,5,,Aggregated,74.800000,74.800000,64,70,75,78,87,96,120,200,320,500,500,2197,2096,64,68.04513740327971,25.599994998628972,502.85424800131295,48.95402822030041
1778739799,5,,Aggregated,75.100000,75.100000,64,70,75,78,86,96,120,200,320,500,500,2273,2172,64,67.99324059920806,25.599994998628972,502.85424800131295,48.95556533216014
1778739800,5,,Aggregated,75.000000,75.000000,64,70,75,78,86,95,120,190,320,500,500,2348,2247,64,67.95824659241931,25.599994998628972,502.85424800131295,48.95698466780239
1778739801,5,,Aggregated,74.600000,74.600000,64,70,75,78,86,95,120,180,320,500,500,2425,2324,64,67.85690304330187,25.599994998628972,502.85424800131295,48.95835051546392
